partner,currency,stk_flow,sitc06,geo\time	2014 	2012 	2010 
EXT_EU,EU_OTH,EXP,SITC5-8,PT	0.4 	0.3 	0.2 
EXT_EU,EU_OTH,EXP,SITC5-8,RO	1.5 	0.9 	0.7 
EXT_EU,EU_OTH,EXP,SITC5-8,SE	22.2 	30.5 	47.9 
EXT_EU,EU_OTH,EXP,SITC5-8,SI	0.1 	0.1 	0.1 
EXT_EU,EU_OTH,EXP,SITC5-8,SK	0.2 	0.1 	0.2 
EXT_EU,EU_OTH,EXP,SITC5-8,UK	55.1 	56.8 	60.5 
EXT_EU,EU_OTH,EXP,TOTAL,AT	0.1 	0.1 	0.1 
EXT_EU,EU_OTH,EXP,TOTAL,BE	0.5 	0.7 	0.5 
EXT_EU,EU_OTH,EXP,TOTAL,BG	1.1 	0.6 	0.7 
EXT_EU,EU_OTH,EXP,TOTAL,CY	0.1 	0.7 	0.5 
EXT_EU,EU_OTH,EXP,TOTAL,CZ	3.1 	3.3 	4.1 
EXT_EU,EU_OTH,EXP,TOTAL,DE	0.1 	0.1 	0.1 
EXT_EU,EU_OTH,EXP,TOTAL,DK	16.4 	18.3 	19.2 
EXT_EU,EU_OTH,EXP,TOTAL,EA	0.2 	0.3 	0.4 
EXT_EU,EU_OTH,EXP,TOTAL,EE	3.7 	5.7 	5.7 
EXT_EU,EU_OTH,EXP,TOTAL,EL	0 	0 	0.1 
EXT_EU,EU_OTH,EXP,TOTAL,ES	0.1 	0.1 	0.1 
EXT_EU,EU_OTH,EXP,TOTAL,EU	10.2 	10.4 	10.6 
EXT_EU,EU_OTH,EXP,TOTAL,FI	0 	0 	0.2 
EXT_EU,EU_OTH,EXP,TOTAL,FR	0.3 	0.9 	0.2 
EXT_EU,EU_OTH,EXP,TOTAL,HR	11.4 	: 	: 
EXT_EU,EU_OTH,EXP,TOTAL,HU	10.3 	9.1 	1.8 
EXT_EU,EU_OTH,EXP,TOTAL,IE	0.4 	0.4 	0.3 
EXT_EU,EU_OTH,EXP,TOTAL,IT	0.2 	0.2 	0.1 
EXT_EU,EU_OTH,EXP,TOTAL,LT	9 	15.5 	18.9 
EXT_EU,EU_OTH,EXP,TOTAL,LU	0.1 	0.1 	0 
EXT_EU,EU_OTH,EXP,TOTAL,LV	0 	2.3 	3.3 
EXT_EU,EU_OTH,EXP,TOTAL,MT	7 	0 	0.6 
EXT_EU,EU_OTH,EXP,TOTAL,NL	0.5 	0.5 	0.5 
EXT_EU,EU_OTH,EXP,TOTAL,PL	100 	100 	99.5 
EXT_EU,EU_OTH,EXP,TOTAL,PT	0.3 	0.2 	0.1 
EXT_EU,EU_OTH,EXP,TOTAL,RO	1.1 	0.8 	0.5 
EXT_EU,EU_OTH,EXP,TOTAL,SE	21.6 	30 	47.6 
EXT_EU,EU_OTH,EXP,TOTAL,SI	0.1 	0.1 	0.1 
EXT_EU,EU_OTH,EXP,TOTAL,SK	0.2 	0.1 	0.2 
EXT_EU,EU_OTH,EXP,TOTAL,UK	57.1 	59.6 	61.4 
EXT_EU,EU_OTH,IMP,SITC0-4A,AT	4.6 	2.9 	3.7 
EXT_EU,EU_OTH,IMP,SITC0-4A,BE	3.4 	2.6 	3.5 
EXT_EU,EU_OTH,IMP,SITC0-4A,BG	1.3 	0.1 	0.2 
EXT_EU,EU_OTH,IMP,SITC0-4A,CY	0 	0 	0 
EXT_EU,EU_OTH,IMP,SITC0-4A,CZ	0.8 	1.3 	3.1 
EXT_EU,EU_OTH,IMP,SITC0-4A,DE	0.7 	0.4 	0.7 
EXT_EU,EU_OTH,IMP,SITC0-4A,DK	17.2 	15.2 	18.2 
EXT_EU,EU_OTH,IMP,SITC0-4A,EA	1.2 	0.8 	1.3 
EXT_EU,EU_OTH,IMP,SITC0-4A,EE	0.1 	0.1 	0.6 
EXT_EU,EU_OTH,IMP,SITC0-4A,EL	0 	0 	0 
EXT_EU,EU_OTH,IMP,SITC0-4A,ES	0.2 	0.2 	0.4 
EXT_EU,EU_OTH,IMP,SITC0-4A,EU	6.2 	5.3 	6.3 
EXT_EU,EU_OTH,IMP,SITC0-4A,FI	0 	0 	0.2 
EXT_EU,EU_OTH,IMP,SITC0-4A,FR	1.5 	1.2 	2.2 
EXT_EU,EU_OTH,IMP,SITC0-4A,HR	0.6 	: 	: 
EXT_EU,EU_OTH,IMP,SITC0-4A,HU	12 	13.2 	0.6 
EXT_EU,EU_OTH,IMP,SITC0-4A,IE	1.4 	1.6 	1.8 
EXT_EU,EU_OTH,IMP,SITC0-4A,IT	0.6 	0.1 	0.2 
EXT_EU,EU_OTH,IMP,SITC0-4A,LT	1 	1 	0.9 
EXT_EU,EU_OTH,IMP,SITC0-4A,LU	0 	0 	0 
EXT_EU,EU_OTH,IMP,SITC0-4A,LV	0 	9.7 	19.7 
EXT_EU,EU_OTH,IMP,SITC0-4A,MT	1.6 	0.8 	0.7 
EXT_EU,EU_OTH,IMP,SITC0-4A,NL	2.1 	1.6 	2.7 
EXT_EU,EU_OTH,IMP,SITC0-4A,PL	9.4 	11.8 	8.2 
EXT_EU,EU_OTH,IMP,SITC0-4A,PT	0 	0 	0 
EXT_EU,EU_OTH,IMP,SITC0-4A,RO	1.2 	1.3 	0.4 
EXT_EU,EU_OTH,IMP,SITC0-4A,SE	10.4 	11.7 	14.4 
EXT_EU,EU_OTH,IMP,SITC0-4A,SI	0.3 	0.1 	0.3 
EXT_EU,EU_OTH,IMP,SITC0-4A,SK	0 	0 	0.2 
EXT_EU,EU_OTH,IMP,SITC0-4A,UK	40.6 	35 	40.9 
EXT_EU,EU_OTH,IMP,SITC33,AT	0 	0 	0 
EXT_EU,EU_OTH,IMP,SITC33,BE	0 	0 	0 
EXT_EU,EU_OTH,IMP,SITC33,BG	0 	0 	0 
EXT_EU,EU_OTH,IMP,SITC33,CY	0 	0 	0 
EXT_EU,EU_OTH,IMP,SITC33,CZ	0 	2 	6.7 
EXT_EU,EU_OTH,IMP,SITC33,DE	0 	0 	0 
EXT_EU,EU_OTH,IMP,SITC33,DK	0 	1.1 	0.5 
EXT_EU,EU_OTH,IMP,SITC33,EA	0 	0 	0 
EXT_EU,EU_OTH,IMP,SITC33,EE	0 	0 	1 
EXT_EU,EU_OTH,IMP,SITC33,EL	0 	0 	0 
EXT_EU,EU_OTH,IMP,SITC33,ES	0 	0 	0 
EXT_EU,EU_OTH,IMP,SITC33,EU	0.2 	0.3 	2.2 
EXT_EU,EU_OTH,IMP,SITC33,FI	0 	0 	0 
EXT_EU,EU_OTH,IMP,SITC33,FR	0 	0.1 	0 
EXT_EU,EU_OTH,IMP,SITC33,HR	0 	: 	: 
EXT_EU,EU_OTH,IMP,SITC33,HU	0 	0 	0 
EXT_EU,EU_OTH,IMP,SITC33,IE	0 	0 	0 
EXT_EU,EU_OTH,IMP,SITC33,IT	0 	0 	0 
EXT_EU,EU_OTH,IMP,SITC33,LT	1.3 	0.2 	0 
EXT_EU,EU_OTH,IMP,SITC33,LU	0 	0 	0 
EXT_EU,EU_OTH,IMP,SITC33,LV	0 	2.1 	5.5 
EXT_EU,EU_OTH,IMP,SITC33,MT	0 	0 	0 
EXT_EU,EU_OTH,IMP,SITC33,NL	0 	0 	0 
EXT_EU,EU_OTH,IMP,SITC33,PL	0 	0.4 	0.1 
EXT_EU,EU_OTH,IMP,SITC33,PT	0 	0 	0 
EXT_EU,EU_OTH,IMP,SITC33,RO	0 	0 	0 
EXT_EU,EU_OTH,IMP,SITC33,SE	5.6 	4 	77.6 
EXT_EU,EU_OTH,IMP,SITC33,SI	0 	0 	0 
EXT_EU,EU_OTH,IMP,SITC33,SK	0 	0 	0.1 
EXT_EU,EU_OTH,IMP,SITC33,UK	0.7 	1 	0.9 
EXT_EU,EU_OTH,IMP,SITC5-8,AT	0.4 	0.5 	0.3 
EXT_EU,EU_OTH,IMP,SITC5-8,BE	2.5 	1.4 	1.5 
EXT_EU,EU_OTH,IMP,SITC5-8,BG	1.2 	4.3 	1.7 
EXT_EU,EU_OTH,IMP,SITC5-8,CY	0.2 	0.3 	0.5 
EXT_EU,EU_OTH,IMP,SITC5-8,CZ	2.6 	2.6 	3.5 
EXT_EU,EU_OTH,IMP,SITC5-8,DE	0.4 	0.4 	0.3 
EXT_EU,EU_OTH,IMP,SITC5-8,DK	13.4 	12.1 	11.6 
EXT_EU,EU_OTH,IMP,SITC5-8,EA	0.6 	0.7 	0.7 
EXT_EU,EU_OTH,IMP,SITC5-8,EE	0.1 	0.1 	1.8 
EXT_EU,EU_OTH,IMP,SITC5-8,EL	0.1 	0.1 	0.1 
EXT_EU,EU_OTH,IMP,SITC5-8,ES	0.2 	0.4 	0.3 
EXT_EU,EU_OTH,IMP,SITC5-8,EU	5.7 	6.1 	5.5 
EXT_EU,EU_OTH,IMP,SITC5-8,FI	0.2 	0.3 	0.2 
EXT_EU,EU_OTH,IMP,SITC5-8,FR	0.3 	2 	1.7 
EXT_EU,EU_OTH,IMP,SITC5-8,HR	4.9 	: 	: 
EXT_EU,EU_OTH,IMP,SITC5-8,HU	4 	3.6 	4.5 
EXT_EU,EU_OTH,IMP,SITC5-8,IE	0.6 	0.8 	0.6 
EXT_EU,EU_OTH,IMP,SITC5-8,IT	0.1 	0.2 	0.1 
EXT_EU,EU_OTH,IMP,SITC5-8,LT	2.4 	3.3 	1.5 
EXT_EU,EU_OTH,IMP,SITC5-8,LU	0 	0 	0 
EXT_EU,EU_OTH,IMP,SITC5-8,LV	0 	2.5 	5.4 
EXT_EU,EU_OTH,IMP,SITC5-8,MT	1.5 	1.6 	1.1 
EXT_EU,EU_OTH,IMP,SITC5-8,NL	0.6 	0.5 	0.7 
EXT_EU,EU_OTH,IMP,SITC5-8,PL	5.9 	5.6 	6.4 
EXT_EU,EU_OTH,IMP,SITC5-8,PT	0.1 	0.2 	0.2 
EXT_EU,EU_OTH,IMP,SITC5-8,RO	5.4 	6.4 	5.2 
EXT_EU,EU_OTH,IMP,SITC5-8,SE	22.4 	22.8 	20.7 
EXT_EU,EU_OTH,IMP,SITC5-8,SI	0.2 	0.2 	0.4 
EXT_EU,EU_OTH,IMP,SITC5-8,SK	0.1 	0.1 	0.1 
EXT_EU,EU_OTH,IMP,SITC5-8,UK	28.4 	29.3 	27 
EXT_EU,EU_OTH,IMP,TOTAL,AT	0.9 	0.8 	0.9 
EXT_EU,EU_OTH,IMP,TOTAL,BE	2.4 	1.5 	1.8 
EXT_EU,EU_OTH,IMP,TOTAL,BG	0.8 	1.6 	0.7 
EXT_EU,EU_OTH,IMP,TOTAL,CY	0.1 	0.1 	0.2 
EXT_EU,EU_OTH,IMP,TOTAL,CZ	2 	2.3 	3.9 
EXT_EU,EU_OTH,IMP,TOTAL,DE	0.4 	0.3 	0.3 
EXT_EU,EU_OTH,IMP,TOTAL,DK	12.7 	11.6 	12.3 
EXT_EU,EU_OTH,IMP,TOTAL,EA	0.6 	0.6 	0.7 
EXT_EU,EU_OTH,IMP,TOTAL,EE	0 	0 	2.3 
EXT_EU,EU_OTH,IMP,TOTAL,EL	0 	0 	0 
EXT_EU,EU_OTH,IMP,TOTAL,ES	0.1 	0.2 	0.2 
EXT_EU,EU_OTH,IMP,TOTAL,EU	4.7 	4.6 	5.2 
EXT_EU,EU_OTH,IMP,TOTAL,FI	0.1 	0.1 	0.2 
EXT_EU,EU_OTH,IMP,TOTAL,FR	0.4 	1.4 	1.3 
EXT_EU,EU_OTH,IMP,TOTAL,HR	2.4 	: 	: 
EXT_EU,EU_OTH,IMP,TOTAL,HU	4.5 	4.4 	3.4 
EXT_EU,EU_OTH,IMP,TOTAL,IE	0.6 	0.7 	0.6 
EXT_EU,EU_OTH,IMP,TOTAL,IT	0.2 	0.1 	0.1 
EXT_EU,EU_OTH,IMP,TOTAL,LT	1.5 	1 	0.5 
EXT_EU,EU_OTH,IMP,TOTAL,LU	0 	0 	0 
EXT_EU,EU_OTH,IMP,TOTAL,LV	0 	4.9 	10 
EXT_EU,EU_OTH,IMP,TOTAL,MT	1.2 	1.4 	1.1 
EXT_EU,EU_OTH,IMP,TOTAL,NL	0.7 	0.6 	0.9 
EXT_EU,EU_OTH,IMP,TOTAL,PL	9.4 	11.6 	11 
EXT_EU,EU_OTH,IMP,TOTAL,PT	0 	0.1 	0.1 
EXT_EU,EU_OTH,IMP,TOTAL,RO	3.3 	3.7 	3.2 
EXT_EU,EU_OTH,IMP,TOTAL,SE	16.1 	16 	31.7 
EXT_EU,EU_OTH,IMP,TOTAL,SI	0.2 	0.1 	0.3 
EXT_EU,EU_OTH,IMP,TOTAL,SK	0.1 	0.1 	0.1 
EXT_EU,EU_OTH,IMP,TOTAL,UK	23.2 	20.5 	25.2 
EXT_EU,OTH,EXP,SITC0-4A,AT	10.4 	5 	5.5 
EXT_EU,OTH,EXP,SITC0-4A,BE	2.2 	1.4 	2.4 
EXT_EU,OTH,EXP,SITC0-4A,BG	0.5 	0.1 	0 
EXT_EU,OTH,EXP,SITC0-4A,CY	0.1 	0.2 	0.1 
EXT_EU,OTH,EXP,SITC0-4A,CZ	4.8 	2.7 	5.4 
EXT_EU,OTH,EXP,SITC0-4A,DE	3.9 	3.6 	3.4 
EXT_EU,OTH,EXP,SITC0-4A,DK	40.8 	38 	45.7 
EXT_EU,OTH,EXP,SITC0-4A,EA	5.2 	4.2 	5.3 
EXT_EU,OTH,EXP,SITC0-4A,EE	13.4 	13.2 	15.4 
EXT_EU,OTH,EXP,SITC0-4A,EL	0.5 	1.2 	0.5 
EXT_EU,OTH,EXP,SITC0-4A,ES	2.3 	1.9 	2 
EXT_EU,OTH,EXP,SITC0-4A,EU	6.6 	5.9 	7.1 
EXT_EU,OTH,EXP,SITC0-4A,FI	7.9 	17.9 	13.7 
EXT_EU,OTH,EXP,SITC0-4A,FR	5.3 	5.4 	6.1 
EXT_EU,OTH,EXP,SITC0-4A,HR	5.5 	: 	: 
EXT_EU,OTH,EXP,SITC0-4A,HU	7.7 	6 	9.1 
EXT_EU,OTH,EXP,SITC0-4A,IE	7.8 	9.8 	13.1 
EXT_EU,OTH,EXP,SITC0-4A,IT	4.7 	4.6 	5.1 
EXT_EU,OTH,EXP,SITC0-4A,LT	2.4 	1.7 	1.9 
EXT_EU,OTH,EXP,SITC0-4A,LU	0.2 	0.1 	1.1 
EXT_EU,OTH,EXP,SITC0-4A,LV	21.1 	23.6 	14 
EXT_EU,OTH,EXP,SITC0-4A,MT	44.8 	23.4 	48.9 
EXT_EU,OTH,EXP,SITC0-4A,NL	7.5 	4.6 	3.6 
EXT_EU,OTH,EXP,SITC0-4A,PL	0 	0 	0 
EXT_EU,OTH,EXP,SITC0-4A,PT	2.5 	1.8 	2.2 
EXT_EU,OTH,EXP,SITC0-4A,RO	0.2 	0.3 	0.1 
EXT_EU,OTH,EXP,SITC0-4A,SE	11.6 	13 	7 
EXT_EU,OTH,EXP,SITC0-4A,SI	3.1 	0.9 	1.8 
EXT_EU,OTH,EXP,SITC0-4A,SK	1.6 	0.3 	3 
EXT_EU,OTH,EXP,SITC0-4A,UK	6.7 	6.5 	7 
EXT_EU,OTH,EXP,SITC33,AT	16.4 	6.5 	2.3 
EXT_EU,OTH,EXP,SITC33,BE	1.4 	1.8 	0.7 
EXT_EU,OTH,EXP,SITC33,BG	0 	0 	0 
EXT_EU,OTH,EXP,SITC33,CY	0 	0 	0 
EXT_EU,OTH,EXP,SITC33,CZ	0.6 	0.5 	0 
EXT_EU,OTH,EXP,SITC33,DE	8.2 	1.5 	1.7 
EXT_EU,OTH,EXP,SITC33,DK	0.4 	0.6 	5.6 
EXT_EU,OTH,EXP,SITC33,EA	1 	0.6 	0.2 
EXT_EU,OTH,EXP,SITC33,EE	0.5 	0.2 	0 
EXT_EU,OTH,EXP,SITC33,EL	0 	0.5 	0 
EXT_EU,OTH,EXP,SITC33,ES	0 	0 	0 
EXT_EU,OTH,EXP,SITC33,EU	1.2 	0.8 	0.6 
EXT_EU,OTH,EXP,SITC33,FI	0.1 	7.5 	0 
EXT_EU,OTH,EXP,SITC33,FR	0.1 	0 	0.1 
EXT_EU,OTH,EXP,SITC33,HR	0 	: 	: 
EXT_EU,OTH,EXP,SITC33,HU	52.3 	37.9 	0 
EXT_EU,OTH,EXP,SITC33,IE	0 	0 	0 
EXT_EU,OTH,EXP,SITC33,IT	0.2 	0.2 	0.5 
EXT_EU,OTH,EXP,SITC33,LT	0 	0 	0 
EXT_EU,OTH,EXP,SITC33,LU	0.4 	0 	0 
EXT_EU,OTH,EXP,SITC33,LV	0 	0 	0 
EXT_EU,OTH,EXP,SITC33,MT	0 	0 	0 
EXT_EU,OTH,EXP,SITC33,NL	0 	0 	0 
EXT_EU,OTH,EXP,SITC33,PL	0 	0 	0 
EXT_EU,OTH,EXP,SITC33,PT	0 	0 	0 
EXT_EU,OTH,EXP,SITC33,RO	0 	0.1 	0 
EXT_EU,OTH,EXP,SITC33,SE	6.5 	6.4 	6.2 
EXT_EU,OTH,EXP,SITC33,SI	0 	0 	1 
EXT_EU,OTH,EXP,SITC33,SK	0.4 	0 	0 
EXT_EU,OTH,EXP,SITC33,UK	0 	0.5 	1 
EXT_EU,OTH,EXP,SITC5-8,AT	7.3 	7.5 	7 
EXT_EU,OTH,EXP,SITC5-8,BE	13.8 	16.1 	11.4 
EXT_EU,OTH,EXP,SITC5-8,BG	4.5 	4.4 	3.1 
EXT_EU,OTH,EXP,SITC5-8,CY	0.4 	0.6 	0.3 
EXT_EU,OTH,EXP,SITC5-8,CZ	13.5 	13.3 	11.5 
EXT_EU,OTH,EXP,SITC5-8,DE	12.7 	9.9 	8.2 
EXT_EU,OTH,EXP,SITC5-8,DK	24.8 	22.8 	23.3 
EXT_EU,OTH,EXP,SITC5-8,EA	10.2 	9.1 	7.4 
EXT_EU,OTH,EXP,SITC5-8,EE	4.6 	4.4 	4 
EXT_EU,OTH,EXP,SITC5-8,EL	0.9 	1.9 	0.9 
EXT_EU,OTH,EXP,SITC5-8,ES	5.4 	4.7 	3.8 
EXT_EU,OTH,EXP,SITC5-8,EU	10 	9 	7.7 
EXT_EU,OTH,EXP,SITC5-8,FI	8.6 	21.9 	6.6 
EXT_EU,OTH,EXP,SITC5-8,FR	9.1 	8.7 	8.4 
EXT_EU,OTH,EXP,SITC5-8,HR	1 	: 	: 
EXT_EU,OTH,EXP,SITC5-8,HU	7.8 	9 	9.3 
EXT_EU,OTH,EXP,SITC5-8,IE	21.3 	22.6 	16.7 
EXT_EU,OTH,EXP,SITC5-8,IT	3.8 	3.1 	3 
EXT_EU,OTH,EXP,SITC5-8,LT	5.1 	4.9 	2.5 
EXT_EU,OTH,EXP,SITC5-8,LU	14.9 	2.8 	5.8 
EXT_EU,OTH,EXP,SITC5-8,LV	9.8 	9.8 	9.9 
EXT_EU,OTH,EXP,SITC5-8,MT	1 	1.1 	1.9 
EXT_EU,OTH,EXP,SITC5-8,NL	8.3 	7.5 	6.7 
EXT_EU,OTH,EXP,SITC5-8,PL	0 	0 	0 
EXT_EU,OTH,EXP,SITC5-8,PT	6.9 	2.9 	2.5 
EXT_EU,OTH,EXP,SITC5-8,RO	12.6 	9.9 	8.7 
EXT_EU,OTH,EXP,SITC5-8,SE	25 	20.5 	18.4 
EXT_EU,OTH,EXP,SITC5-8,SI	10.4 	8.7 	5.5 
EXT_EU,OTH,EXP,SITC5-8,SK	7.4 	2.7 	2 
EXT_EU,OTH,EXP,SITC5-8,UK	4.4 	3.3 	3.6 
EXT_EU,OTH,EXP,TOTAL,AT	7.5 	7.2 	6.8 
EXT_EU,OTH,EXP,TOTAL,BE	10.8 	11.7 	9.5 
EXT_EU,OTH,EXP,TOTAL,BG	2.5 	2.1 	1.7 
EXT_EU,OTH,EXP,TOTAL,CY	0.3 	0.4 	0.2 
EXT_EU,OTH,EXP,TOTAL,CZ	13.1 	12.8 	11.3 
EXT_EU,OTH,EXP,TOTAL,DE	12 	9.7 	7.8 
EXT_EU,OTH,EXP,TOTAL,DK	27.6 	25.8 	28.3 
EXT_EU,OTH,EXP,TOTAL,EA	9 	8 	6.7 
EXT_EU,OTH,EXP,TOTAL,EE	5.7 	4.8 	5.1 
EXT_EU,OTH,EXP,TOTAL,EL	0.3 	1 	0.4 
EXT_EU,OTH,EXP,TOTAL,ES	4.2 	3.5 	3 
EXT_EU,OTH,EXP,TOTAL,EU	8.9 	8.1 	7.1 
EXT_EU,OTH,EXP,TOTAL,FI	7.8 	20.6 	6.9 
EXT_EU,OTH,EXP,TOTAL,FR	8.4 	7.9 	7.9 
EXT_EU,OTH,EXP,TOTAL,HR	2.1 	: 	: 
EXT_EU,OTH,EXP,TOTAL,HU	8.9 	9.3 	9.1 
EXT_EU,OTH,EXP,TOTAL,IE	19.8 	21.4 	15.5 
EXT_EU,OTH,EXP,TOTAL,IT	3.6 	2.9 	2.9 
EXT_EU,OTH,EXP,TOTAL,LT	3.8 	3.5 	1.9 
EXT_EU,OTH,EXP,TOTAL,LU	14 	2.6 	5.6 
EXT_EU,OTH,EXP,TOTAL,LV	14.5 	14.3 	11.1 
EXT_EU,OTH,EXP,TOTAL,MT	8.5 	2.7 	5.1 
EXT_EU,OTH,EXP,TOTAL,NL	6.7 	5.5 	5.1 
EXT_EU,OTH,EXP,TOTAL,PL	0 	0 	0 
EXT_EU,OTH,EXP,TOTAL,PT	5.3 	2.2 	2.1 
EXT_EU,OTH,EXP,TOTAL,RO	8.1 	6.6 	6 
EXT_EU,OTH,EXP,TOTAL,SE	22.9 	19 	16.7 
EXT_EU,OTH,EXP,TOTAL,SI	9.4 	7.4 	4.9 
EXT_EU,OTH,EXP,TOTAL,SK	7.3 	2.6 	2 
EXT_EU,OTH,EXP,TOTAL,UK	3.7 	3.1 	3.6 
EXT_EU,OTH,IMP,SITC0-4A,AT	2.5 	1.8 	2.2 
EXT_EU,OTH,IMP,SITC0-4A,BE	1.7 	1.1 	4.3 
EXT_EU,OTH,IMP,SITC0-4A,BG	0.5 	36.9 	0.1 
EXT_EU,OTH,IMP,SITC0-4A,CY	3.8 	3.3 	2.2 
EXT_EU,OTH,IMP,SITC0-4A,CZ	3.9 	0.9 	1 
EXT_EU,OTH,IMP,SITC0-4A,DE	1.6 	1.5 	1.8 
EXT_EU,OTH,IMP,SITC0-4A,DK	13.9 	13.8 	12.5 
EXT_EU,OTH,IMP,SITC0-4A,EA	1.4 	1.5 	1.6 
EXT_EU,OTH,IMP,SITC0-4A,EE	4 	3.2 	3 
EXT_EU,OTH,IMP,SITC0-4A,EL	1 	1.3 	0.8 
EXT_EU,OTH,IMP,SITC0-4A,ES	0.2 	0.2 	0.2 
EXT_EU,OTH,IMP,SITC0-4A,EU	2.1 	2.4 	2.4 
EXT_EU,OTH,IMP,SITC0-4A,FI	3.8 	4.9 	2.2 
EXT_EU,OTH,IMP,SITC0-4A,FR	2.3 	2.1 	1.9 
EXT_EU,OTH,IMP,SITC0-4A,HR	1 	: 	: 
EXT_EU,OTH,IMP,SITC0-4A,HU	0.3 	0.4 	0.4 
EXT_EU,OTH,IMP,SITC0-4A,IE	1.4 	2.6 	1.8 
EXT_EU,OTH,IMP,SITC0-4A,IT	1.4 	1.1 	1 
EXT_EU,OTH,IMP,SITC0-4A,LT	2.1 	1.6 	1.3 
EXT_EU,OTH,IMP,SITC0-4A,LU	6.3 	10.6 	3.2 
EXT_EU,OTH,IMP,SITC0-4A,LV	2.2 	1.3 	3.2 
EXT_EU,OTH,IMP,SITC0-4A,MT	6 	4.4 	10.6 
EXT_EU,OTH,IMP,SITC0-4A,NL	1 	2.2 	1.3 
EXT_EU,OTH,IMP,SITC0-4A,PL	1.2 	1.1 	1.9 
EXT_EU,OTH,IMP,SITC0-4A,PT	0.6 	0.4 	0.3 
EXT_EU,OTH,IMP,SITC0-4A,RO	0.6 	0.3 	0.4 
EXT_EU,OTH,IMP,SITC0-4A,SE	14.8 	12.5 	20.3 
EXT_EU,OTH,IMP,SITC0-4A,SI	0.3 	0.3 	0.2 
EXT_EU,OTH,IMP,SITC0-4A,SK	0.3 	0.3 	0.5 
EXT_EU,OTH,IMP,SITC0-4A,UK	3 	3.6 	3.8 
EXT_EU,OTH,IMP,SITC33,AT	0 	0 	0 
EXT_EU,OTH,IMP,SITC33,BE	0 	0 	10.4 
EXT_EU,OTH,IMP,SITC33,BG	0 	0 	0 
EXT_EU,OTH,IMP,SITC33,CY	0 	0 	0 
EXT_EU,OTH,IMP,SITC33,CZ	0 	0 	0 
EXT_EU,OTH,IMP,SITC33,DE	0.1 	0 	0 
EXT_EU,OTH,IMP,SITC33,DK	0 	0.1 	0.3 
EXT_EU,OTH,IMP,SITC33,EA	0.1 	0 	0.3 
EXT_EU,OTH,IMP,SITC33,EE	0 	0 	0 
EXT_EU,OTH,IMP,SITC33,EL	0.5 	0 	0 
EXT_EU,OTH,IMP,SITC33,ES	0 	0 	0 
EXT_EU,OTH,IMP,SITC33,EU	0.1 	0 	0.2 
EXT_EU,OTH,IMP,SITC33,FI	0 	0 	0 
EXT_EU,OTH,IMP,SITC33,FR	0.1 	0.1 	0.2 
EXT_EU,OTH,IMP,SITC33,HR	0 	: 	: 
EXT_EU,OTH,IMP,SITC33,HU	0 	0 	0 
EXT_EU,OTH,IMP,SITC33,IE	0 	0 	0 
EXT_EU,OTH,IMP,SITC33,IT	0 	0 	0 
EXT_EU,OTH,IMP,SITC33,LT	0 	0 	0 
EXT_EU,OTH,IMP,SITC33,LU	13.2 	1.5 	0 
EXT_EU,OTH,IMP,SITC33,LV	0.3 	0.1 	0.1 
EXT_EU,OTH,IMP,SITC33,MT	0 	0.1 	0.1 
EXT_EU,OTH,IMP,SITC33,NL	0 	0 	0 
EXT_EU,OTH,IMP,SITC33,PL	0 	0 	0 
EXT_EU,OTH,IMP,SITC33,PT	0 	0 	0 
EXT_EU,OTH,IMP,SITC33,RO	0 	0 	0 
EXT_EU,OTH,IMP,SITC33,SE	0 	0 	0.2 
EXT_EU,OTH,IMP,SITC33,SI	0 	0 	0 
EXT_EU,OTH,IMP,SITC33,SK	0 	0 	0 
EXT_EU,OTH,IMP,SITC33,UK	0 	0 	0 
EXT_EU,OTH,IMP,SITC5-8,AT	14.5 	14.5 	13.2 
EXT_EU,OTH,IMP,SITC5-8,BE	2.8 	3.2 	1.4 
EXT_EU,OTH,IMP,SITC5-8,BG	2.1 	2.2 	2.9 
